                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77364,                 3.5367,                 1.3519,                0.51214,                0.32572,                0.28511,                0.25386,                0.58862,                 1.9881,                 1.2741,               0.003322,               0.003322,               0.003322
                      2,                 0.6718,                 2.0161,                 1.2162,                0.52629,                0.53455,                 0.5073,                0.44108,                 0.6469,                 1.5591,                   1.36,              0.0066422,              0.0066422,              0.0066422
                      3,                0.71532,                 1.7382,                 1.2397,                0.58874,                 0.5543,                0.56753,                 0.4835,                0.66986,                 1.4426,                 1.3955,              0.0099491,              0.0099491,              0.0099491
                      4,                0.74079,                 1.6113,                 1.2484,                0.68978,                0.53388,                0.64308,                0.55121,                0.66773,                 1.2193,                 1.3754,              0.0099406,              0.0099406,              0.0099406
                      5,                0.71918,                 1.4705,                 1.2316,                0.67749,                0.60723,                0.68655,                0.60498,                0.58059,                 1.0471,                 1.2653,              0.0099406,              0.0099406,              0.0099406
                      6,                 0.6918,                 1.3589,                 1.2043,                0.58172,                0.73171,                0.69425,                0.61232,                 0.5744,                0.98428,                 1.2505,              0.0099208,              0.0099208,              0.0099208
                      7,                0.66645,                 1.2559,                 1.1875,                0.72477,                0.64293,                0.75881,                0.66683,                0.57132,                0.90881,                 1.2627,               0.009901,               0.009901,               0.009901
                      8,                0.65697,                 1.2306,                 1.1921,                0.73768,                0.72164,                0.76302,                0.68925,                0.53444,                 0.7869,                 1.1835,              0.0098812,              0.0098812,              0.0098812
                      9,                0.63656,                  1.159,                 1.1685,                  0.748,                0.75141,                0.77569,                0.70641,                0.51391,                0.71165,                 1.1693,              0.0098614,              0.0098614,              0.0098614
                     10,                0.62278,                 1.1087,                 1.1618,                0.70519,                0.74141,                0.81201,                0.72422,                 0.5426,                  0.778,                 1.2112,              0.0098416,              0.0098416,              0.0098416
                     11,                0.61229,                 1.0804,                 1.1555,                0.72796,                0.80307,                0.83513,                0.75835,                0.51301,                0.64482,                 1.1467,              0.0098218,              0.0098218,              0.0098218
                     12,                0.60181,                 1.0388,                 1.1482,                0.81115,                0.74695,                0.83061,                0.75551,                0.49398,                0.62715,                 1.1346,               0.009802,               0.009802,               0.009802
                     13,                0.59203,                 1.0115,                  1.138,                0.78165,                0.81316,                0.85429,                  0.779,                 0.4726,                 0.5662,                 1.1084,              0.0097822,              0.0097822,              0.0097822
                     14,                0.58575,                0.99348,                 1.1346,                0.75186,                0.82901,                 0.8658,                0.79304,                0.48963,                 0.5646,                  1.116,              0.0097624,              0.0097624,              0.0097624
                     15,                0.57965,                0.96525,                 1.1316,                0.79282,                0.83387,                 0.8577,                 0.7821,                0.48179,                 0.5495,                 1.1199,              0.0097426,              0.0097426,              0.0097426
                     16,                 0.5673,                0.94561,                 1.1228,                0.76289,                0.85668,                 0.8758,                0.81226,                0.45887,                0.50521,                 1.0832,              0.0097228,              0.0097228,              0.0097228
                     17,                 0.5658,                0.92574,                 1.1216,                0.77921,                0.86582,                0.88101,                0.80988,                0.47022,                0.50373,                 1.1125,               0.009703,               0.009703,               0.009703
                     18,                0.56836,                0.91048,                 1.1213,                0.76474,                0.88928,                0.88387,                0.81929,                0.44577,                0.50927,                 1.0689,              0.0096832,              0.0096832,              0.0096832
                     19,                0.54819,                0.90035,                 1.1112,                0.72398,                0.89843,                0.87163,                0.80673,                0.46137,                0.49373,                 1.0939,              0.0096634,              0.0096634,              0.0096634
                     20,                 0.5525,                0.88935,                 1.1141,                0.79306,                0.87378,                0.89803,                0.83512,                0.44551,                0.44992,                 1.0594,              0.0096436,              0.0096436,              0.0096436
                     21,                0.54777,                0.87239,                 1.1128,                0.78379,                0.87532,                0.88448,                0.82107,                0.45644,                0.49964,                 1.0797,              0.0096238,              0.0096238,              0.0096238
                     22,                0.53792,                0.85964,                 1.1062,                0.76993,                0.91314,                0.90111,                  0.836,                0.44659,                0.43354,                  1.067,               0.009604,               0.009604,               0.009604
                     23,                0.53446,                  0.836,                 1.1001,                0.79427,                0.91038,                0.90402,                0.84445,                 0.4648,                0.44569,                 1.0988,              0.0095842,              0.0095842,              0.0095842
                     24,                 0.5341,                0.83965,                 1.0988,                0.82307,                0.89638,                0.90685,                0.84487,                0.46643,                0.44712,                 1.1071,              0.0095644,              0.0095644,              0.0095644
                     25,                0.52166,                0.82051,                  1.093,                0.78586,                0.92392,                0.91598,                 0.8571,                0.42216,                 0.4072,                 1.0338,              0.0095446,              0.0095446,              0.0095446
                     26,                0.51683,                0.81503,                 1.0951,                0.76223,                 0.9193,                0.88756,                0.82921,                0.43289,                0.43228,                 1.0526,              0.0095248,              0.0095248,              0.0095248
                     27,                0.51543,                0.81163,                  1.093,                0.80095,                0.89835,                0.90033,                0.84076,                 0.4359,                0.39808,                 1.0544,               0.009505,               0.009505,               0.009505
                     28,                0.51952,                0.80717,                 1.0966,                0.77689,                0.91054,                0.89532,                0.84005,                0.42073,                0.40717,                 1.0358,              0.0094852,              0.0094852,              0.0094852
                     29,                0.51272,                0.79784,                 1.0899,                0.80032,                0.90746,                0.90934,                0.85106,                0.41914,                0.39586,                 1.0397,              0.0094654,              0.0094654,              0.0094654
                     30,                0.50916,                0.78599,                 1.0883,                0.81767,                0.89646,                0.91364,                0.86069,                0.42345,                0.38971,                 1.0359,              0.0094456,              0.0094456,              0.0094456
                     31,                0.50981,                0.76755,                 1.0918,                0.81715,                0.89626,                0.89935,                0.83728,                0.43671,                0.43066,                 1.0541,              0.0094258,              0.0094258,              0.0094258
                     32,                0.49929,                0.75954,                 1.0816,                 0.8175,                0.89922,                0.92503,                0.86878,                0.42372,                0.40713,                 1.0341,               0.009406,               0.009406,               0.009406
                     33,                 0.4953,                0.76497,                 1.0805,                 0.8346,                0.92356,                0.92273,                0.86707,                0.43681,                0.39057,                 1.0642,              0.0093862,              0.0093862,              0.0093862
                     34,                 0.5014,                 0.7597,                 1.0842,                0.83898,                 0.8872,                 0.9106,                0.84536,                0.43257,                0.40545,                 1.0579,              0.0093664,              0.0093664,              0.0093664
                     35,                0.49148,                0.74528,                 1.0737,                0.82181,                0.90436,                 0.9131,                 0.8614,                0.41316,                0.37109,                 1.0324,              0.0093466,              0.0093466,              0.0093466
                     36,                0.49505,                0.73355,                 1.0746,                 0.8299,                0.88764,                0.90871,                0.85826,                0.41816,                0.37834,                 1.0354,              0.0093268,              0.0093268,              0.0093268
                     37,                0.49219,                0.74463,                 1.0778,                0.78426,                 0.9393,                0.91073,                0.85431,                0.41928,                0.37304,                 1.0405,               0.009307,               0.009307,               0.009307
                     38,                0.49313,                0.73648,                 1.0762,                0.82233,                0.95098,                0.93394,                0.87823,                0.41358,                0.35366,                  1.023,              0.0092872,              0.0092872,              0.0092872
                     39,                0.48622,                0.72143,                 1.0752,                0.84798,                0.91472,                0.92555,                0.87169,                 0.4106,                0.34041,                 1.0214,              0.0092674,              0.0092674,              0.0092674
                     40,                0.47866,                 0.7203,                 1.0695,                0.85181,                0.90707,                0.92069,                0.86914,                0.41453,                0.36578,                 1.0252,              0.0092476,              0.0092476,              0.0092476
                     41,                0.48315,                0.71107,                 1.0677,                0.79627,                0.93394,                0.92373,                0.86871,                0.41183,                0.35984,                  1.025,              0.0092278,              0.0092278,              0.0092278
                     42,                0.47637,                0.70665,                  1.068,                0.81622,                0.91195,                0.92094,                0.87202,                 0.3932,                 0.3441,                 1.0062,               0.009208,               0.009208,               0.009208
                     43,                0.47236,                0.69192,                 1.0637,                 0.8608,                0.90164,                0.92186,                0.87574,                0.39322,                0.32642,                 1.0013,              0.0091882,              0.0091882,              0.0091882
                     44,                0.47354,                0.70235,                 1.0655,                0.84551,                0.93268,                 0.9233,                0.87311,                0.40462,                0.33735,                  1.019,              0.0091684,              0.0091684,              0.0091684
                     45,                0.47341,                0.70311,                 1.0648,                0.81047,                0.93533,                0.92491,                0.87394,                0.40265,                0.34749,                 1.0124,              0.0091486,              0.0091486,              0.0091486
                     46,                0.46419,                0.70141,                 1.0595,                 0.8283,                0.92536,                0.92025,                0.87123,                0.39718,                 0.3237,                 1.0095,              0.0091288,              0.0091288,              0.0091288
                     47,                0.46578,                0.68603,                 1.0577,                0.81961,                0.96925,                0.94195,                0.89386,                0.38929,                0.31464,                 1.0046,               0.009109,               0.009109,               0.009109
                     48,                0.45776,                0.67784,                 1.0556,                0.81595,                0.96476,                0.94026,                0.89435,                0.38885,                0.32253,                0.99674,              0.0090892,              0.0090892,              0.0090892
                     49,                0.46316,                 0.6714,                 1.0564,                0.81252,                0.95198,                0.93391,                0.88863,                0.39593,                0.32995,                 1.0124,              0.0090694,              0.0090694,              0.0090694
                     50,                0.46081,                0.68433,                 1.0559,                0.82052,                0.95877,                0.94533,                 0.9014,                0.38787,                0.31796,                0.99808,              0.0090496,              0.0090496,              0.0090496
                     51,                0.45657,                0.66336,                 1.0496,                0.82538,                 0.9712,                0.94182,                0.88818,                0.38861,                0.29629,                0.99579,              0.0090298,              0.0090298,              0.0090298
                     52,                 0.4581,                0.66157,                 1.0535,                0.82165,                0.94622,                0.93334,                0.88661,                0.38618,                0.32371,                0.99355,                0.00901,                0.00901,                0.00901
                     53,                0.45393,                0.65972,                 1.0513,                 0.8052,                0.95817,                0.92175,                0.87498,                0.38692,                0.33383,                 1.0021,              0.0089902,              0.0089902,              0.0089902
                     54,                 0.4497,                 0.6582,                  1.051,                0.82629,                0.94642,                0.92619,                0.88525,                0.37576,                0.30978,                0.98132,              0.0089704,              0.0089704,              0.0089704
                     55,                0.44858,                0.63922,                 1.0512,                 0.8489,                0.91835,                0.92975,                0.88691,                0.39784,                0.31432,                  1.004,              0.0089506,              0.0089506,              0.0089506
                     56,                0.45122,                0.64259,                 1.0491,                 0.8516,                0.93058,                0.94079,                0.89647,                 0.3802,                0.32399,                0.98978,              0.0089308,              0.0089308,              0.0089308
                     57,                0.45219,                0.64817,                 1.0462,                 0.8224,                0.94809,                0.94175,                0.89854,                0.37498,                0.29475,                0.98002,               0.008911,               0.008911,               0.008911
                     58,                0.44563,                0.63836,                 1.0461,                0.84178,                0.94928,                0.94451,                0.90127,                0.37805,                0.30771,                0.98573,              0.0088912,              0.0088912,              0.0088912
                     59,                 0.4474,                0.63941,                 1.0514,                0.85152,                0.95316,                0.94493,                0.90016,                0.37207,                0.30389,                0.98437,              0.0088714,              0.0088714,              0.0088714
                     60,                0.44067,                0.64498,                 1.0435,                0.84831,                0.93288,                 0.9351,                0.89469,                0.36692,                0.29947,                0.97532,              0.0088516,              0.0088516,              0.0088516
                     61,                0.44139,                 0.6346,                 1.0461,                0.84827,                0.96727,                0.94221,                0.90082,                0.37241,                0.29114,                0.98113,              0.0088318,              0.0088318,              0.0088318
                     62,                 0.4451,                0.63603,                 1.0467,                0.86003,                 0.9495,                0.94992,                0.90923,                0.36217,                0.28066,                0.96685,               0.008812,               0.008812,               0.008812
                     63,                0.43518,                0.63579,                 1.0397,                0.84603,                 0.9395,                0.93391,                0.89439,                0.36875,                0.29743,                0.97445,              0.0087922,              0.0087922,              0.0087922
                     64,                0.43871,                0.61814,                 1.0415,                0.84869,                0.94678,                0.94559,                0.90582,                0.36976,                0.28533,                0.97423,              0.0087724,              0.0087724,              0.0087724
                     65,                0.43351,                0.61196,                 1.0389,                0.85823,                0.95601,                0.94756,                0.90788,                0.36046,                 0.2789,                0.96672,              0.0087526,              0.0087526,              0.0087526
                     66,                0.43412,                0.61417,                 1.0437,                0.86605,                0.94458,                0.94234,                0.90038,                0.37119,                0.28783,                0.97057,              0.0087328,              0.0087328,              0.0087328
                     67,                0.43005,                0.62175,                 1.0357,                0.87539,                0.93409,                0.95683,                0.91593,                0.37081,                0.26988,                 0.9757,               0.008713,               0.008713,               0.008713
                     68,                0.43643,                0.62463,                 1.0398,                 0.8603,                0.95691,                0.95021,                0.91345,                0.36114,                0.27833,                0.96816,              0.0086932,              0.0086932,              0.0086932
                     69,                0.43279,                0.61893,                 1.0389,                0.85292,                0.95791,                0.94297,                0.90025,                0.36303,                0.28636,                0.97069,              0.0086734,              0.0086734,              0.0086734
                     70,                0.42979,                0.61013,                 1.0392,                0.83687,                0.95094,                0.94925,                0.90937,                0.36693,                0.28219,                 0.9706,              0.0086536,              0.0086536,              0.0086536
                     71,                0.41648,                0.59758,                 1.0327,                0.84312,                0.96185,                0.94561,                0.90343,                0.36242,                0.27698,                0.96969,              0.0086338,              0.0086338,              0.0086338
                     72,                0.42637,                0.59801,                 1.0327,                0.84824,                0.96437,                0.95756,                 0.9147,                0.36874,                0.26906,                0.98136,               0.008614,               0.008614,               0.008614
                     73,                0.41836,                0.59703,                 1.0336,                 0.8567,                0.93026,                0.93996,                0.90197,                0.35514,                 0.2766,                0.96366,              0.0085942,              0.0085942,              0.0085942
                     74,                0.42221,                0.59677,                  1.035,                0.87573,                 0.9434,                0.94593,                0.90585,                0.36106,                0.26834,                0.97006,              0.0085744,              0.0085744,              0.0085744
                     75,                0.42095,                 0.6051,                 1.0341,                 0.8534,                 0.9624,                0.94368,                0.90363,                0.36348,                0.27464,                0.97588,              0.0085546,              0.0085546,              0.0085546
                     76,                0.42191,                0.60317,                 1.0362,                0.86726,                0.94858,                 0.9409,                0.90117,                0.36327,                0.28517,                0.96863,              0.0085348,              0.0085348,              0.0085348
                     77,                0.41762,                0.60143,                 1.0305,                0.86307,                0.95141,                0.94449,                0.90874,                0.34338,                0.26367,                0.94765,               0.008515,               0.008515,               0.008515
                     78,                0.41771,                0.60423,                 1.0301,                0.86524,                0.94839,                0.94796,                0.90992,                0.35236,                0.26322,                0.95907,              0.0084952,              0.0084952,              0.0084952
